gene/TE	/sonas-hs/mhammell/hpc/home/tam/workdir/ALS/regina_samples/BAM/Co-23_S8.bam
"ANKRD20A5P"	115
"ANKRD20A8P"	104
"ANKRD20A9P"	18
"ANKRD22"	5
"ANKRD23"	291
"ANKRD24"	1458
"ANKRD26"	1412
"ANKRD26P1"	0
"ANKRD26P3"	190
"ANKRD27"	871
"ANKRD28"	1984
"ANKRD29"	359
"ANKRD30A"	9
"ANKRD30B"	212
"ANKRD30BL"	6026
"ANKRD30BP2"	7
"ANKRD30BP3"	1
"ANKRD31"	61
"ANKRD33"	2
"ANKRD33B"	1892
"ANKRD34A"	610
"ANKRD34B"	15
"ANKRD34C"	240
"ANKRD34C-AS1"	36
"ANKRD35"	234
"ANKRD36"	4246
"ANKRD36B"	1161
"ANKRD36BP1"	0
"ANKRD36BP2"	682
"ANKRD36C"	3267
"ANKRD37"	98
"ANKRD39"	200
"ANKRD40"	4766
"ANKRD42"	988
"ANKRD44"	957
"ANKRD44-IT1"	71
"ANKRD45"	77
"ANKRD46"	1175
"ANKRD49"	202
"ANKRD50"	1342
"ANKRD52"	2532
"ANKRD53"	4
"ANKRD54"	435
"ANKRD55"	63
"ANKRD6"	736
"ANKRD60"	2
"ANKRD61"	1
"ANKRD62"	71
"ANKRD62P1-PARP4P3"	2
"ANKRD63"	45
"ANKRD65"	345
"ANKRD66"	4
"ANKRD7"	35
"ANKRD9"	1065
"ANKS1A"	1299
"ANKS1B"	5946
"ANKS3"	400
"ANKS4B"	4
"ANKS6"	890
"ANKUB1"	1
"ANKZF1"	931
"ANLN"	4469
"ANO1"	97
"ANO1-AS2"	0
"ANO10"	551
"ANO2"	204
"ANO3"	1371
"ANO4"	1091
"ANO5"	1748
"ANO6"	622
"ANO7"	92
"ANO8"	889
"ANO9"	2
"ANOS1"	626
"ANP32A"	1793
"ANP32A-IT1"	143
"ANP32AP1"	0
"ANP32B"	568
"ANP32C"	49
"ANP32D"	10
"ANP32E"	942
"ANPEP"	32
"ANTXR1"	988
"ANTXR2"	146
"ANTXRL"	1
"ANTXRLP1"	1
"ANXA1"	118
"ANXA10"	0
"ANXA11"	1841
"ANXA13"	2
"ANXA2"	250
"ANXA2P1"	0
"ANXA2P2"	2
"ANXA2P3"	8
"ANXA2R"	21
"ANXA3"	221
"ANXA4"	393
"ANXA5"	1350
"ANXA6"	7888
"ANXA7"	1573
"ANXA8"	0
"ANXA8L1"	3
"ANXA9"	2
"AOAH"	221
"AOAH-IT1"	15
"AOC1"	0
"AOC2"	88
"AOC3"	47
"AOC4P"	0
"AOX1"	27
"AOX3P-AOX2P"	1
"AP1AR"	529
"AP1B1"	3385
"AP1B1P1"	0
"AP1G1"	2747
"AP1G2"	923
"AP1M1"	1108
"AP1M2"	1
"AP1S1"	1194
"AP1S2"	813
"AP1S3"	74
"AP2A1"	3397
"AP2A2"	3618
"AP2B1"	8012
"AP2M1"	7678
"AP2S1"	626
"AP3B1"	1177
"AP3B2"	2906
"AP3D1"	4031
"AP3M1"	791
"AP3M2"	2010
"AP3S1"	1106
"AP3S2"	819
"AP4B1"	407
"AP4B1-AS1"	2
"AP4E1"	423
"AP4M1"	207
"AP4S1"	632
"AP5B1"	899
"AP5M1"	1032
"AP5S1"	193
"AP5Z1"	501
"APAF1"	412
"APBA1"	4284
"APBA2"	6780
"APBA3"	229
"APBB1"	6903
"APBB1IP"	180
"APBB2"	3825
"APBB3"	788
"APC"	14064
"APC2"	5167
"APCDD1"	848
"APCDD1L"	1
"APCDD1L-AS1"	11
"APCS"	0
"APEH"	1301
"APELA"	0
"APEX1"	813
"APEX2"	172
"APH1A"	610
"APH1B"	598
"API5"	2128
"APIP"	267
"APLF"	411
"APLN"	528
"APLNR"	890
"APLP1"	14897
"APLP2"	10541
"APMAP"	1916
"APOA1"	5
"APOA1-AS"	2
"APOA2"	0
"APOA4"	0
"APOA5"	0
"APOB"	24
"APOBEC1"	0
"APOBEC2"	0
"APOBEC3A"	1
"APOBEC3A_B"	0
"APOBEC3B"	0
"APOBEC3B-AS1"	0
"APOBEC3C"	16
"APOBEC3D"	14
"APOBEC3F"	28
"APOBEC3G"	55
"APOBEC3H"	2
"APOBEC4"	0
"APOBR"	28
"APOC1"	54
"APOC1P1"	0
"APOC2"	47
"APOC3"	0
"APOC4"	0
"APOC4-APOC2"	48
"APOD"	2758
"APOE"	6476
"APOF"	0
"APOH"	0
"APOL1"	152
"APOL2"	1554
"APOL3"	119
"APOL4"	15
"APOL5"	3
"APOL6"	477
"APOLD1"	1687
"APOM"	11
"APOO"	336
"APOOL"	769
"APOOP5"	0
"APOPT1"	308
"APP"	30312
"APPBP2"	1981
"APPL1"	2412
"APPL2"	759
"APRT"	275
"APTR"	114
"APTX"	411
"AQP1"	1537
"AQP10"	0
"AQP11"	94
"AQP12A"	0
"AQP12B"	0
"AQP2"	0
"AQP3"	25
"AQP4"	13905
"AQP4-AS1"	102
"AQP5"	5
"AQP6"	43
"AQP7"	19
"AQP7P1"	23
"AQP7P3"	6
"AQP8"	8
"AQP9"	65
"AQR"	1274
"AR"	183
"ARAF"	365
"ARAP1"	1742
"ARAP1-AS2"	0
"ARAP2"	5658
"ARAP3"	299
"ARC"	243
"ARCN1"	2247
"AREG"	0
"AREL1"	1218
"ARF1"	4002
"ARF3"	7794
"ARF4"	857
"ARF4-AS1"	23
