gene/TE	/sonas-hs/mhammell/hpc/home/tam/workdir/ALS/regina_samples/BAM/ALS-28_S8.bam
"ARID4A"	1918
"ARID4B"	2619
"ARID5A"	327
"ARID5B"	4171
"ARIH1"	3335
"ARIH2"	2666
"ARIH2OS"	29
"ARL1"	1846
"ARL10"	950
"ARL11"	20
"ARL13A"	0
"ARL13B"	286
"ARL14"	0
"ARL14EP"	928
"ARL14EPL"	0
"ARL15"	517
"ARL16"	425
"ARL17A"	877
"ARL17B"	424
"ARL2"	948
"ARL2-SNX15"	577
"ARL2BP"	1192
"ARL3"	1322
"ARL4A"	1753
"ARL4C"	1988
"ARL4D"	115
"ARL5A"	892
"ARL5B"	1092
"ARL5C"	2
"ARL6"	779
"ARL6IP1"	9808
"ARL6IP4"	1286
"ARL6IP5"	2864
"ARL6IP6"	268
"ARL8A"	1414
"ARL8B"	3898
"ARL9"	27
"ARMC1"	1362
"ARMC10"	923
"ARMC12"	28
"ARMC2"	671
"ARMC2-AS1"	0
"ARMC3"	41
"ARMC4"	42
"ARMC4P1"	18
"ARMC5"	448
"ARMC6"	470
"ARMC7"	178
"ARMC8"	1785
"ARMC9"	1329
"ARMCX1"	799
"ARMCX2"	1464
"ARMCX3"	2647
"ARMCX4"	2428
"ARMCX5"	526
"ARMCX5-GPRASP2"	3800
"ARMCX6"	292
"ARMS2"	1
"ARMT1"	450
"ARNT"	1700
"ARNT2"	17917
"ARNTL"	1287
"ARNTL2"	1188
"ARNTL2-AS1"	0
"ARPC1A"	1608
"ARPC1B"	305
"ARPC2"	2007
"ARPC3"	1407
"ARPC4"	1356
"ARPC4-TTLL3"	735
"ARPC5"	1160
"ARPC5L"	745
"ARPIN"	927
"ARPP19"	13047
"ARPP21"	4751
"ARR3"	0
"ARRB1"	7576
"ARRB2"	1072
"ARRDC1"	315
"ARRDC1-AS1"	196
"ARRDC2"	845
"ARRDC3"	2603
"ARRDC3-AS1"	22
"ARRDC4"	1263
"ARRDC5"	8
"ARSA"	843
"ARSB"	553
"ARSD"	290
"ARSD-AS1"	5
"ARSE"	26
"ARSF"	25
"ARSG"	465
"ARSH"	0
"ARSI"	46
"ARSJ"	205
"ARSK"	337
"ART1"	0
"ART3"	400
"ART4"	2
"ART5"	1
"ARTN"	20
"ARV1"	401
